"status","id","nome","categoria","subcategoria","subcategoria2","peso","altura","largura","comprimento","preco","destaque","descricao","imagens","nome_variacao_1","variacoes_1","nome_variacao_2","variacoes_2","nome_variacao_3","variacoes_3","caminho_origem","pasta_produto"
"ativo","3-2-5-051","Miniatura Cacto Hipopótamo","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-051-miniatura-cacto-hipopotamo/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-051-miniatura-cacto-hipopotamo/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\051 CACTO HIPOPÓTAMO","3-2-5-051-miniatura-cacto-hipopotamo"
"ativo","3-2-5-052","Miniatura Mucca Mokka Ravanello","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-052-miniatura-mucca-mokka-ravanello/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-052-miniatura-mucca-mokka-ravanello/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\052 MUCCA MOKKA RAVANELLO","3-2-5-052-miniatura-mucca-mokka-ravanello"
"ativo","3-2-5-053","Miniatura Pararell Bararell","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-053-miniatura-pararell-bararell/1.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\053 PARARELL BARARELL","3-2-5-053-miniatura-pararell-bararell"
"ativo","3-2-5-054","Miniatura Trikitrakatelas","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-054-miniatura-trikitrakatelas/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-054-miniatura-trikitrakatelas/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\054 TRIKITRAKATELAS","3-2-5-054-miniatura-trikitrakatelas"
"ativo","3-2-5-055","Miniatura Palla Gialla","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-055-miniatura-palla-gialla/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-055-miniatura-palla-gialla/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\055 PALLA GIALLA","3-2-5-055-miniatura-palla-gialla"
"ativo","3-2-5-056","Miniatura Polpetta Erbivora","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-056-miniatura-polpetta-erbivora/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-056-miniatura-polpetta-erbivora/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\056 POLPETTA ERBIVORA","3-2-5-056-miniatura-polpetta-erbivora"
"ativo","3-2-5-057","Miniatura Tic Tic Tic… Sahur","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-057-miniatura-tic-tic-tic-sahur/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-057-miniatura-tic-tic-tic-sahur/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\057 TIC TIC TIC… SAHUR","3-2-5-057-miniatura-tic-tic-tic-sahur"
"ativo","3-2-5-058","Miniatura Melanini Pandanini","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-058-miniatura-melanini-pandanini/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-058-miniatura-melanini-pandanini/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\058 MELANINI PANDANINI","3-2-5-058-miniatura-melanini-pandanini"
"ativo","3-2-5-059","Miniatura Bombardini Gusini","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-059-miniatura-bombardini-gusini/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-059-miniatura-bombardini-gusini/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\059 BOMBARDINI GUSINI","3-2-5-059-miniatura-bombardini-gusini"
"ativo","3-2-5-060","Miniatura Frigo Camello Buffo Fardello","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-060-miniatura-frigo-camello-buffo-fardello/1.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\060 FRIGO CAMELLO BUFFO FARDELLO","3-2-5-060-miniatura-frigo-camello-buffo-fardello"
"ativo","3-2-5-061","Miniatura Frullì Frullà","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-061-miniatura-frulli-frulla/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-061-miniatura-frulli-frulla/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\061 FRULLÌ FRULLÀ","3-2-5-061-miniatura-frulli-frulla"
"ativo","3-2-5-062","Miniatura Garam Mararam","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-062-miniatura-garam-mararam/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-062-miniatura-garam-mararam/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\062 GARAM MARARAM","3-2-5-062-miniatura-garam-mararam"
"ativo","3-2-5-063","Miniatura Giraffa Celeste","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-063-miniatura-giraffa-celeste/1.png|produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-063-miniatura-giraffa-celeste/2.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\063 GIRAFFA CELESTE","3-2-5-063-miniatura-giraffa-celeste"
"ativo","3-2-5-064","Miniatura Matteooo","decoracao","Miniaturas","Abstratas","50","8","6","6","17.9","","Brainrot Italiano","produtos/imagens/decoracao/miniaturas/abstratas/3-2-5-064-miniatura-matteooo/1.png","","","","","","","3 DECORAÇÃO\2 MINIATURAS\5 ABSTRATAS\064 MATTEOOO","3-2-5-064-miniatura-matteooo"
